date,daily_return,num_stocks,nav,peak,drawdown
2020-11-25,-0.008235098471518132,30,1.4656156164578493,1.4866884512472014,-0.01417434484788915
2020-11-26,-0.003645167368765412,30,1.4602732022375842,1.4866884512472014,-0.017767844357341408
2020-11-27,0.011449049564938543,30,1.476991942508354,1.4866884512472014,-0.006522219723112061
2020-11-30,0.002008381006210167,30,1.479958305072013,1.4866884512472014,-0.004526937819112201
2020-12-01,0.010289408520112283,30,1.4951862006656318,1.4951862006656318,0.0
2020-12-02,-0.007982166238486988,30,1.483251375854427,1.4951862006656318,-0.00798216623848695
2020-12-03,-0.007549672381921294,30,1.472053313906692,1.4951862006656318,-0.015471575880409672
2020-12-04,-0.004001208421741128,30,1.4661633217898367,1.4951862006656318,-0.01941087930244048
2020-12-07,-0.011604981090147456,30,1.4491485241653979,1.4951862006656318,-0.03079059750533996
2020-12-08,-0.0025963141032216866,30,1.4453860794144444,1.4951862006656318,-0.03330696954601186
2020-12-09,-0.0064130690866093685,30,1.4361167186303363,1.4951862006656318,-0.03950643873585695
2020-12-10,-0.0011900176707862328,30,1.4344077143578546,1.4951862006656318,-0.040649443046437694
2020-12-11,-0.004140971270261129,30,1.4284678732228577,1.4951862006656318,-0.04462208614089147
2020-12-14,-0.002901496200940445,30,1.424323179115536,1.4951862006656318,-0.047394111528416195
2020-12-15,-0.001143274868776138,30,1.4226947862198378,1.4951862006656318,-0.04848320190055394
2020-12-16,-0.0009586422424520122,30,1.4213309308996511,1.4951862006656318,-0.04939536609761483
2020-12-17,0.01034158318678066,30,1.4360297429574942,1.4951862006656318,-0.03956460919837418
2020-12-18,0.009059715339153033,30,1.449039763647246,1.4951862006656318,-0.030863337956063334
2020-12-21,0.0025836892427596302,30,1.4527836320969123,1.4951862006656318,-0.028359389987576516
2020-12-22,-0.02395090047576451,30,1.4179881559117395,1.4951862006656318,-0.05163105753619514
2020-12-23,0.012787917830288808,30,1.4361212719338616,1.4951862006656318,-0.0395033934271701
2020-12-24,0.0036528497465946183,30,1.4413672071581245,1.4951862006656318,-0.03599484364124547
2020-12-25,0.013972324112717116,30,1.4615064569419798,1.4951862006656318,-0.02252545115027035
2020-12-28,0.00013914615211627974,30,1.4617098199417564,1.4951862006656318,-0.022389439328006272
2020-12-29,-0.009751036931796726,30,1.4474566335039345,1.4951862006656318,-0.03192215601003333
2020-12-30,0.00702019506133601,30,1.457618061413957,1.4951862006656318,-0.025126060710666136
2020-12-31,0.018896201033493057,30,1.4851615053324854,1.4951862006656318,-0.0067046467715416325
2021-01-04,0.03212291773485273,30,1.5328692261912509,1.5328692261912509,0.0
2021-01-05,0.018452291114135853,30,1.561154175392832,1.561154175392832,0.0
2021-01-06,0.018879493793576112,30,1.5906279759579764,1.5906279759579764,0.0
2021-01-07,0.019165551068036114,30,1.621113237661446,1.621113237661446,0.0
2021-01-08,-0.0029196351588107517,30,1.6163801784563563,1.621113237661446,-0.0029196351588107084
2021-01-11,-0.011240932524219142,30,1.598210557936843,1.621113237661446,-0.014127748261214329
2021-01-12,0.021614406600264452,30,1.6327549307689253,1.6327549307689253,0.0
2021-01-13,0.003567183554200655,30,1.6385792673060042,1.6385792673060042,0.0
2021-01-14,-0.015362878761542461,30,1.6134059726812051,1.6385792673060042,-0.015362878761542397
2021-01-15,0.0038221297396288283,30,1.6195726196314848,1.6385792673060042,-0.011599467937714325
2021-01-18,0.0017067589053286908,30,1.6223368396228675,1.6385792673060042,-0.009912506527585341
2021-01-19,-0.014213888387404823,30,1.599277124857693,1.6385792673060042,-0.023985499653567662
2021-01-20,0.015856819847887366,30,1.6246365741134088,1.6385792673060042,-0.008509013552648381
2021-01-21,0.018524263186719504,30,1.6547317695950559,1.6547317695950559,0.0
2021-01-22,0.0036867939134382316,30,1.6608324246115718,1.6608324246115718,0.0
2021-01-25,0.014222759778915905,30,1.6844540452198566,1.6844540452198566,0.0
2021-01-26,-0.01786839371702483,30,1.654355557141633,1.6844540452198566,-0.017868393717024846
2021-01-27,0.004142985896766667,30,1.6612095288831086,1.6844540452198566,-0.013799436323425594
2021-01-28,-0.025960442199881223,30,1.6180837949266467,1.6844540452198566,-0.03940163905424161
2021-01-29,-0.0049118700526638494,30,1.610135977591646,1.6844540452198566,-0.044119973376008974
2021-02-01,0.01304993965297556,30,1.6311481549323017,1.6844540452198566,-0.031645796713081244
2021-02-02,0.020713037276406193,30,1.6649341874687555,1.6844540452198566,-0.011588240003634738
2021-02-03,-0.0029917775731746698,30,1.6599530747058746,1.6844540452198566,-0.014545348140254039
2021-02-04,-0.01140694401258387,30,1.6410180829191883,1.6844540452198566,-0.025786374180958478
2021-02-05,-0.01589858697559009,30,1.6149282141993815,1.6844540452198566,-0.041274994243847465
2021-02-08,0.017947010856051857,30,1.643911348391362,1.6844540452198566,-0.024068746157573487
2021-02-09,0.023017802160847377,30,1.6817505745786063,1.6844540452198566,-0.001604953634040789
2021-02-10,0.008712480524572509,30,1.696402793706811,1.696402793706811,0.0
2021-02-18,0.0065867315830081905,30,1.7075765435656227,1.7075765435656227,0.0
2021-02-19,-0.005102412828266805,30,1.698863783104486,1.7075765435656227,-0.0051024128282668385
2021-02-22,-0.008723387242071473,30,1.684043936452935,1.7075765435656227,-0.01378128974736846
2021-02-23,-0.011215742076546336,30,1.6651561340161072,1.7075765435656227,-0.024842464432626065
2021-02-24,-0.03046918739581833,30,1.614420179725474,1.7075765435656227,-0.054554722124272766
2021-02-25,-0.00038346853922333795,30,1.613801100377462,1.7075765435656227,-0.05491727064389542
2021-02-26,-0.02231947662027322,30,1.577781904447816,1.7075765435656227,-0.07601102252598295
2021-03-01,0.008193853418762012,30,1.5907100180996365,1.7075765435656227,-0.06843999228400913
2021-03-02,-0.011008241682665523,30,1.5731990977733583,1.7075765435656227,-0.07869482999085262
2021-03-03,0.020167832578033087,30,1.604927113789164,1.7075765435656227,-0.06011410156883183
2021-03-04,-0.014660435643580603,30,1.5813981831248205,1.7075765435656227,-0.0738932382950909
2021-03-05,-0.0036361540338236465,30,1.5756479757421697,1.7075765435656227,-0.07726070513241558
2021-03-08,-0.011956607740243205,30,1.5568085709595123,1.7075765435656227,-0.08829353692765594
2021-03-09,-0.009009138952188193,30,1.5427830662217805,1.7075765435656227,-0.09650722713708274
2021-03-10,-0.0022836811641852176,30,1.5392598415930259,1.7075765435656227,-0.09857051656444728
2021-03-11,0.023433989407394457,30,1.5753308404161446,1.7075765435656227,-0.07744642759810544
