code,date,score,rank
600522,2017-07-31,0.6107667373084414,27
157,2017-07-31,0.6016796210849396,28
568,2017-07-31,0.5981774419243383,29
858,2017-07-31,0.5971187667512406,30
601985,2017-08-31,1.0713230203979895,1
601857,2017-08-31,1.0366510100415913,2
600900,2017-08-31,0.9877202626629623,3
601618,2017-08-31,0.9652357324045061,4
600023,2017-08-31,0.9604119211453933,5
600415,2017-08-31,0.9511602948302471,6
601390,2017-08-31,0.932333764257924,7
601766,2017-08-31,0.8568750289580951,8
601601,2017-08-31,0.8399977081218372,9
600674,2017-08-31,0.8320328447605222,10
603799,2017-08-31,0.7464252449759242,11
601788,2017-08-31,0.7252978630253452,12
600027,2017-08-31,0.7226915986758661,13
600809,2017-08-31,0.7131398437312527,14
600018,2017-08-31,0.7124168226402516,15
2466,2017-08-31,0.6926696305309988,16
600221,2017-08-31,0.6920832089451062,17
601012,2017-08-31,0.6641031269578593,18
2714,2017-08-31,0.6449394542646226,19
2460,2017-08-31,0.6432114076742802,20
600061,2017-08-31,0.6413635536281624,21
625,2017-08-31,0.623100241775275,22
600886,2017-08-31,0.5882646645866737,23
2463,2017-08-31,0.5880274999788387,24
600522,2017-08-31,0.577147867924173,25
600346,2017-08-31,0.575564733380108,26
601006,2017-08-31,0.5696199202741947,27
2236,2017-08-31,0.5624513478101515,28
600999,2017-08-31,0.5548164007893979,29
2001,2017-08-31,0.5389432200731387,30
600415,2017-09-29,1.150612382767557,1
601857,2017-09-29,1.1337740984257418,2
601985,2017-09-29,1.1266681103939724,3
600023,2017-09-29,1.0001443596424968,4
2594,2017-09-29,0.9551608708277871,5
600900,2017-09-29,0.9346864528525041,6
600221,2017-09-29,0.9147362600625796,7
300274,2017-09-29,0.8084351449074182,8
601766,2017-09-29,0.7959165647176613,9
600018,2017-09-29,0.7945858026253897,10
603799,2017-09-29,0.787152532880166,11
601006,2017-09-29,0.7797541478696584,12
600886,2017-09-29,0.7784006436693867,13
600104,2017-09-29,0.7654837464366393,14
601390,2017-09-29,0.7151414285988545,15
601012,2017-09-29,0.7013911449794552,16
625,2017-09-29,0.5917265956610455,17
600066,2017-09-29,0.5873551080629814,18
600438,2017-09-29,0.5863365108000164,19
2001,2017-09-29,0.5828667015202617,20
858,2017-09-29,0.580108544230011,21
600309,2017-09-29,0.5742255419202392,22
600887,2017-09-29,0.569286382540931,23
601601,2017-09-29,0.5644127400642883,24
600999,2017-09-29,0.5615194179492854,25
2460,2017-09-29,0.5567441307385369,26
2463,2017-09-29,0.5532773701854921,27
600674,2017-09-29,0.5508690656923919,28
601788,2017-09-29,0.5489003824806481,29
600406,2017-09-29,0.5445607250532329,30
600415,2017-10-31,1.0087355420398938,1
601985,2017-10-31,0.9838907746755953,2
601857,2017-10-31,0.925518733986007,3
600900,2017-10-31,0.9137150921179839,4
600674,2017-10-31,0.8903255749515937,5
300274,2017-10-31,0.8830523354590403,6
600886,2017-10-31,0.8431572473337287,7
601012,2017-10-31,0.8162407730233353,8
600221,2017-10-31,0.8069338033402117,9
600023,2017-10-31,0.800530822149439,10
601601,2017-10-31,0.7763670420238356,11
603799,2017-10-31,0.7665808515243787,12
600919,2017-10-31,0.7551571454979586,13
601169,2017-10-31,0.7140572817232057,14
600196,2017-10-31,0.7034879735969227,15
858,2017-10-31,0.6874304165391507,16
895,2017-10-31,0.6759940617945778,17
600406,2017-10-31,0.6522163686659437,18
600016,2017-10-31,0.6429247138556428,19
333,2017-10-31,0.6424098808054514,20
2460,2017-10-31,0.6269185422015643,21
600741,2017-10-31,0.6083618544288569,22
601111,2017-10-31,0.590083852424463,23
2463,2017-10-31,0.5738734326296941,24
600115,2017-10-31,0.5656559964448494,25
601628,2017-10-31,0.5605674885648674,26
2050,2017-10-31,0.5599288458751214,27
600809,2017-10-31,0.5453745603169019,28
601998,2017-10-31,0.5411840306830394,29
600000,2017-10-31,0.5323481105525927,30
166,2017-11-30,0.9663567826554168,1
600900,2017-11-30,0.9537495901826937,2
2493,2017-11-30,0.9223867533661614,3
600023,2017-11-30,0.9173214245490087,4
2001,2017-11-30,0.8508533797594446,5
601788,2017-11-30,0.7986700163516086,6
600674,2017-11-30,0.7872009358124495,7
600015,2017-11-30,0.7806104351471822,8
601211,2017-11-30,0.7519566194578345,9
600221,2017-11-30,0.7212579602512781,10
157,2017-11-30,0.7179213657220775,11
600919,2017-11-30,0.7006879800128375,12
601985,2017-11-30,0.6999723028566828,13
601998,2017-11-30,0.6982788470503966,14
2371,2017-11-30,0.68620212652706,15
600000,2017-11-30,0.6738602883732802,16
600415,2017-11-30,0.6059451143004281,17
600346,2017-11-30,0.5998106941951619,18
600027,2017-11-30,0.5995884724501309,19
601012,2017-11-30,0.5836080869219176,20
601669,2017-11-30,0.5831119689174861,21
600886,2017-11-30,0.5554374438002774,22
601169,2017-11-30,0.5443122301905866,23
